Name,Kilometers,Year,Fuel Type,Transmission,Price
Tata NEXON,94.57k km,2019,Petrol,Manual,₹5.78 lakh
Maruti Swift Dzire,26.29k km,2017,Petrol,Manual,₹5.59 lakh
Hyundai Xcent,1.0L km,2015,Petrol,Manual,₹2.92 lakh
Maruti Swift,63.17k km,2014,Petrol,Manual,₹4.07 lakh
Maruti New Wagon-R,94.24k km,2019,Petrol,Manual,₹4.61 lakh
Maruti Swift,1.7L km,2012,Diesel,Manual,₹3.60 lakh
Skoda Rapid,81.43k km,2016,Diesel,Manual,₹5.42 lakh
Maruti Swift,42.17k km,2023,Petrol,Manual,₹6.45 lakh
Volkswagen Vento,94.96k km,2013,Diesel,Manual,₹3.60 lakh
Chevrolet Sail,71.62k km,2013,Petrol,Manual,₹2.80 lakh
Volkswagen Polo,84.94k km,2018,Petrol,Manual,₹4.30 lakh
Tata NEXON,26.80k km,2022,Petrol,Manual,₹8.11 lakh
Maruti Wagon R 1.0,72.23k km,2018,Petrol,Manual,₹3.98 lakh
Maruti New Wagon-R,55.62k km,2022,Petrol,Manual,₹5.60 lakh
Maruti Dzire,68.73k km,2023,Petrol,Manual,₹7.54 lakh
Maruti XL6,33.39k km,2021,Petrol,Manual,₹9.10 lakh
Hyundai Grand i10,45.44k km,2017,Petrol,Manual,₹4.56 lakh
Maruti Celerio,41.11k km,2016,Petrol,Manual,₹3.75 lakh
Hyundai Elite i20,50.99k km,2018,Diesel,Manual,₹6.47 lakh
Tata Zest,95.28k km,2018,Diesel,Manual,₹4.00 lakh
